stat_no;elem_no;year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;annual;co_code
6051;101;1874;4;2,3;2,8;5,9;8,8;13,9;15,9;14,7;13,2;11;4,4;-1;8;DK
6051;101;1875;-0,3;-2,5;1;5,2;10;13,7;15,6;16,7;14;6,2;1;0,6;6,8;DK
6051;101;1876;-0,3;-1,1;1,5;5,2;8;13,6;14,5;15,3;11,7;9;1;-1,4;6,4;DK
6051;101;1877;0,3;0,1;0,1;3;8;13,5;14,5;13,8;10,5;7,4;6,6;1,9;6,6;DK
6051;101;1878;1,1;3,2;2,7;7;9,8;13,1;14,3;16,4;13,3;9,7;3,9;-1,3;7,8;DK
6051;101;1879;-3,8;-4,1;0;2,9;8,6;12,1;14,2;15,4;12,4;8,6;2,1;-1,1;5,6;DK
6051;101;1880;1,1;1,8;2,2;6,1;8,9;14,2;15,5;17;14,1;5,3;3,8;2,1;7,7;DK
6051;101;1881;-3,4;-3,9;-1,7;3,1;9,1;12,7;14,4;13,2;11,5;6;5,7;2,9;5,8;DK
6051;101;1882;3,6;3,8;4,1;5,9;10,2;13,8;15,8;15,3;13,4;8,4;1,9;-1,6;7,9;DK
6051;101;1883;-0,5;1,5;-0,9;5,3;9,3;12,8;16,1;14,8;12,5;8,4;5,2;2,9;7,3;DK
6051;101;1884;3,4;2,7;3;5,2;9,2;12,9;16,1;16;14,4;9,4;2,9;2,5;8,1;DK
6051;101;1885;-1,1;1,9;2,5;6;8,2;11,9;14,8;13,6;11,5;6,3;3,1;3,2;6,8;DK
6051;101;1886;0,3;-2,2;-1,5;5,2;9,1;12,5;13,9;14,6;12,6;9;6,4;1,1;6,8;DK
6051;101;1887;-0,8;1;1,6;4,7;8,9;13,1;14,8;14,3;12,3;7,2;3,7;1,2;6,8;DK
6051;101;1888;0,9;-2,4;-2,8;2,2;8;13,3;13,2;13,4;12;7,4;3,7;3,5;6;DK
6051;101;1889;1,5;-1,2;0;5;15,1;16,7;15,1;14,5;11,6;7,9;6,1;1,2;7,8;DK
6051;101;1890;3,2;0,6;3;5;11,8;12,1;13,1;14,4;13,3;8,7;4,3;-2,3;7,3;DK
6051;101;1891;-2,4;1,4;0,2;4,1;9,5;14,1;16;14,2;13,2;10,3;3,7;3,5;7,3;DK
6051;101;1892;-0,4;-0,1;0,3;4,8;9;11,7;14,1;14,4;12,2;7,2;4,5;0;6,5;DK
6051;101;1893;-4,8;-2,4;2,8;5,6;10,1;12,7;15,6;15,8;11,8;9,5;3,7;3,7;7;DK
6051;101;1894;0,4;2,1;4,5;7,9;8,9;13,4;16,6;14,7;10,8;6,4;6,7;3,7;8;DK
6051;101;1895;-2,8;-5,9;0,5;6,2;11,5;13,8;14,3;15;13,4;7,2;4,5;0,9;6,6;DK
6051;101;1896;1,9;1,9;2,8;5,3;10,6;15,4;16,4;14,7;12,7;8,1;3,7;-0,3;7,8;DK
6051;101;1897;-2,4;-1,6;1,9;5,2;10,2;14,6;15,4;17;12,5;8,2;5,2;2,5;7,4;DK
6051;101;1898;4,8;1,3;1,2;5;8,9;13,3;13;14,8;12,8;8,1;5,2;5,8;7,9;DK
6051;101;1899;2,7;2,4;1,8;5,1;9,9;13,1;16,8;14,7;12,1;8,8;8;-0,4;7,9;DK
6051;101;1900;-0,7;-2,7;0,2;3,9;9;14,2;15,6;15,8;12,8;8,1;4,3;4,2;7,1;DK
6051;101;1901;-1,2;-1,9;1;6,2;10,9;13,3;17,6;16,2;13,5;10;4,6;1,2;7,6;DK
6051;101;1902;3,6;-1,7;2,1;4,9;7,5;13,8;13;12,4;10,5;7,6;3,2;-0,3;6,4;DK
6051;101;1903;0,1;3,2;4,6;4,9;10,7;14,1;14,8;13,8;12,5;8;4,8;0,4;7,7;DK
6051;101;1904;1,2;-0,8;0,9;6;9,6;12,6;15,2;14,9;12,1;8,8;4,8;3,5;7,4;DK
6051;101;1905;1,3;2;3;3,7;10,5;15,7;16,4;15;12,1;5,8;3,7;3,4;7,7;DK
6051;101;1906;2;0,9;1,8;5,6;10,7;13,6;14,9;15,2;13,1;9,5;7,4;0,5;7,9;DK
6051;101;1907;1,3;0;2,8;5,1;9,6;11,7;13,3;13,1;11,6;11,2;4,2;1,6;7,1;DK
6051;101;1908;2;2,8;0,8;4,6;9,5;13,8;15,5;14,5;12,6;9,4;4,3;2,6;7,7;DK
6051;101;1909;1,7;-0,1;-0,7;4,2;7,9;12,1;13,5;13,9;11,7;10,6;4,5;2,3;6,8;DK
6051;101;1910;2,4;2,4;4,1;5,9;11,8;15,8;16,2;15,7;13,1;9,5;3;3,4;8,6;DK
6051;101;1911;2,7;2,8;2,7;5,8;12,6;14,2;16,1;17,5;13,6;7,8;5,7;3,6;8,8;DK
6051;101;1912;-1,4;-0,6;4,1;6,1;8,7;13,4;17,2;14,3;10,4;8;4,8;5,5;7,5;DK
6051;101;1913;0,2;2,7;4;6,6;10,1;13,4;14,7;14,5;12,4;8,7;7,6;4,4;8,3;DK
6051;101;1914;1;4,2;3,4;7,5;9,4;14,5;17,9;16,9;13,1;8,6;5,1;3,6;8,8;DK
6051;101;1915;0,5;1;0,8;5,7;9,6;12,9;14;14,8;11,7;6,6;2,9;0;6,7;DK
6051;101;1916;4,5;1;0,3;6,5;9,7;11,7;15,3;14,2;11,4;7,9;6,5;2,5;7,6;DK
6051;101;1917;-2,1;-0,4;-1,3;3,2;10,5;16,3;15,9;16,8;13,4;7,8;6,5;2;7,4;DK
6051;101;1918;0,4;1,2;2,5;6,3;11,6;11,9;14,8;15,3;11,5;9,9;5,1;3,6;7,8;DK
6051;101;1919;1,4;-0,8;0,9;5,6;11,2;12,8;14,4;13,3;12,7;7,1;0,7;0,5;6,7;DK
6051;101;1920;1,7;3,4;5,1;6,7;11;14,6;15,9;14,5;12,2;6,5;5;2,1;8,2;DK
6051;101;1921;3,7;2,9;5,3;7,9;11,8;12,5;14,4;14,6;11,7;10,2;1,9;3,9;8,4;DK
6051;101;1922;-0,6;-1,3;1,7;4,3;9,4;12,5;14,2;14,1;11,3;6,3;5,1;4,5;6,8;DK
6051;101;1923;3,9;-0,3;3,3;4,6;8,3;10,2;16,3;13,7;12,1;9,7;3,5;-0,3;7,1;DK
6051;101;1924;-0,6;-0,4;-0,2;3,5;9,6;12,4;14,2;14,7;13,3;9,4;6;4,5;7,2;DK
6051;101;1925;4,1;3;1,4;6,6;11,4;12,8;18;15,9;11,8;7,9;2,7;-0,3;7,9;DK
6051;101;1926;0,4;0,1;3,1;6,8;9,4;13,6;16,7;15,5;13;6,5;5,3;2,6;7,8;DK
6051;101;1927;2,8;1,3;4,4;5,1;8;10,8;16,2;16,4;12,7;9,2;2,4;-3,5;7,2;DK
6051;101;1928;0,8;2;1,4;5,7;9,2;10,8;13,4;14,4;12;9;6,4;1,7;7,2;DK
6051;101;1929;-2,1;-6,6;2,4;3;9,8;11,5;14,4;14,6;13,4;9,6;5,3;4,4;6,6;DK
6051;101;1930;3,6;0,1;2,7;6,5;10;15;15,6;15,7;12,5;9,3;5,8;3;8,3;DK
6051;101;1931;1,4;-0,5;-1,3;4,6;11;11,3;15,1;14,6;10,9;8,3;5,6;3;7;DK
6051;101;1932;4,2;2;0,7;5,5;10,3;13,3;17,5;16,1;13,1;7,6;5,4;3,6;8,3;DK
6051;101;1933;0,4;0,5;2,8;6,1;10,7;16,2;17,1;16;13,7;9,5;3,6;1,3;8,2;DK
6051;101;1934;2,7;4;3,3;6,2;9,7;13;15,9;15,9;14,4;10;6,2;5,3;8,9;DK
6051;101;1935;1,6;2,4;2,1;5,9;9,3;13,9;15,1;15,1;12,9;8,9;6;1,5;7,9;DK
6051;101;1936;2,5;-0,6;1,8;4;10,8;15,1;16,7;15,9;12,4;7,9;5,3;4,4;8;DK
6051;101;1937;0;-0,1;0,4;6,4;11,7;13,8;16,6;17,7;13,3;10,4;4,4;-0,3;7,9;DK
6051;101;1938;2,5;2,2;5,8;6,2;9,5;12,6;15,5;17,3;14,1;9,3;8,1;-1,6;8,5;DK
6051;101;1939;1,2;3,6;2,1;5,9;10,5;14;15,6;17,3;13,9;5,2;5,8;1,3;8;DK
6051;101;1940;-3;-6,8;-0,6;4;11,1;14,9;15,7;14,1;11;7,5;5,7;1,1;6,2;DK
6051;101;1941;-7,1;-4,1;0,2;3,4;9,2;13,9;18,4;14,8;12,5;8,1;2,2;3,4;6,2;DK
6051;101;1942;-6,8;-5,9;-3,5;5,1;9,4;11,8;14,5;15,7;13,1;10;5,9;3,9;6,1;DK
6051;101;1943;-0,2;4,2;4,6;7,1;11,1;14,5;15,4;15,2;13,3;9,7;4,9;2,7;8,5;DK
6051;101;1944;4;1,1;2,2;5,5;8,7;12,3;16,5;17,6;12,4;9,1;4,6;2,7;8,1;DK
6051;101;1945;-0,9;1,8;5;6,7;10,7;13,5;16,4;16,5;13,5;11,1;5,5;2,7;8,5;DK
6051;101;1946;0,7;1,5;0,4;7;10,9;12,7;16,3;15,1;13,4;6,2;5,1;1,2;7,5;DK
6051;101;1947;-2,8;-8,2;-2,2;4;13,5;15,3;16,3;17,7;15,2;8,7;4,8;2,5;7,1;DK
6051;101;1948;-0,2;-0,5;4,3;8,2;10,7;14,2;15,9;15,4;13,3;8,6;5,8;4,3;8,3;DK
6051;101;1949;3,5;4;1,5;6,8;10,3;12,5;15,5;14,7;15,8;10,9;5,9;4,6;8,8;DK
6051;101;1950;0,1;1,4;4,1;6;11,1;13,9;15,5;16,4;12,8;8,6;4,1;-0,5;7,8;DK
6051;101;1951;0,1;0,5;-0,3;5;9,8;13,4;14,4;15,6;13,8;8,9;7;5,8;7,8;DK
6051;101;1952;0,9;1,7;0,1;7,8;10,7;12,1;15,9;15,8;10,8;7;2,6;1,6;7,3;DK
6051;101;1953;1,6;-0,6;3,6;6,5;11,1;16,8;16,3;16;13,5;11,1;7,7;4;9;DK
6051;101;1954;0,3;-3;1,5;5,7;13,1;14,2;14,4;15;13;9,9;4,8;4,2;7,8;DK
6051;101;1955;0,1;-2,6;-0,2;4,7;8,3;12,8;17,8;18,4;14,7;9,2;6,3;1,9;7,6;DK
6051;101;1956;0,4;-5,4;1,6;4,5;10,1;12,8;16,3;13,6;13,7;8,8;4,2;3,9;7;DK
6051;101;1957;2,6;2,3;2,9;6;9;13,3;15,5;15,2;11,2;9,8;4,8;2,7;7,9;DK
6051;101;1958;-0,3;-1,1;-1,3;3,9;8,5;13,5;15,6;15;14,1;10,5;6,3;2,4;7,3;DK
6051;101;1959;0,7;1;3,8;7,6;11,2;14,1;16,6;16,8;13,3;9,9;5,5;2,8;8,6;DK
6051;101;1960;0;-0,7;1,8;5,7;10,6;13,8;14,2;15,6;12,9;7,8;5,6;2,8;7,5;DK
6051;101;1961;0,1;3,5;5,1;7,7;10,4;14,3;14,1;14,4;14;11,3;5,1;0,7;8,4;DK
6051;101;1962;2,7;2;0,4;6;8,5;12,7;13,6;13,5;11,9;10,3;4,3;0,6;7,2;DK
6051;101;1963;-4,3;-4,2;-0,1;4,7;9,9;14,2;15,1;15,2;12,5;9,7;7,2;1,3;6,8;DK
6051;101;1964;1,8;1,1;0,2;6,9;10,9;12,7;13,7;14,4;12,4;8;6,2;2,6;7,6;DK
6051;101;1965;1,9;1,2;1,6;5,6;8,9;13,4;13,9;14,1;13,5;10;1,8;1;7,2;DK
6051;101;1966;-2,7;-2,3;2,7;3,2;10,5;14,9;14,8;14,4;12,7;9,3;4,3;2,3;7;DK
6051;101;1967;0,8;2,3;5;5,4;10,2;12,9;15,8;15,7;13,6;10,6;6,5;2,4;8,4;DK
6051;101;1968;0,2;0,4;3,8;6,9;9,5;15,1;14,5;16,2;13,5;9,5;4,3;0,4;7,9;DK
6051;101;1969;0,8;-2,8;-0,2;5,3;8,5;14,6;16;17,6;14;10,6;4,7;-1,7;7,3;DK
